ID	Parent1	Parent2	Sex	ptn_all_swt	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_dim_cvr	ptn_cov_sig	ptn_cov_rad	ptn_cov_xcp	ptn_cov_ycp	ptn_edg_blr	ptn_edg_spc	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	ptn_ajd_xsc	ptn_ajd_ysc	ptn_ajd_enl	ptn_ajd_ang	col_mac_swt	col_mac_lmv	col_mac_rgv	col_mac_byv	col_bot_swt	col_bot_lmv	col_bot_rgv	col_bot_byv	col_top_swt	col_top_lmv	col_top_rgv	col_top_byv	col_grd_sig	col_grd_hgt	eem_all_swt	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	spk_one_swt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_swt	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp
Gen0_Mut0_ID0	none	none	m	0.027380711	0.782821193	0.851084847	0.02418032	0.253877599	0.205608024	0.9559915	0.761544743	0.704828745	0.392824096	0.923068457	0.997236412	0.806183294	0.100638787	0.99761141	0.030506868	0.187853478	0.508451901	0.182181535	0.84764455	0.883625196	0.620187772	0.388976052	0.306169739	0.868006365	0.735733498	0.844390769	0.864127133	0.178009072	0.975500171	0.332033547	0.73114915	0.791350031	0.224847186	0.10053454	0.605560344	0.006287686	0.651977958	0.932531276	0.670034124	0.790721439	0.902502285	0.302208067	0.725690309	0.66835363	0.725706872	0.902502285	0.302208067	0.725690309	0.66835363	0.725706872
Gen0_Mut0_ID1	none	none	f	0.277916654	0.34726456	0.949816123	0.690215912	0.340809681	0.128231871	0.627387672	0.988893639	0.583392669	0.573842276	0.90045281	0.152882862	0.341454607	0.953555724	0.460506026	0.464573112	0.701900291	0.347495619	0.335955296	0.022186015	0.761148711	0.175734679	0.491694315	0.457184496	0.032471835	0.219754907	0.984148035	0.342530587	0.810764898	0.752227718	0.695019801	0.043233058	0.705993818	0.819240557	0.982179636	0.201175706	0.07147856	0.090188568	0.411654267	0.665508736	0.880047465	0.984538231	0.223127057	0.761544721	0.806628602	0.34350509	0.984538231	0.223127057	0.761544721	0.806628602	0.34350509
Gen0_Mut0_ID2	none	none	m	0.452733392	0.673996645	0.291292825	0.610213133	0.836246732	0.983964264	0.028789065	0.915224817	0.9243666	0.405698315	0.884406461	0.569852127	0.740017462	0.863207897	0.889573103	0.029229691	0.279484874	0.673074586	0.905584626	0.550015174	0.436325791	0.877643201	0.701280842	0.325621969	0.624186749	0.258576839	0.889232352	0.034567244	0.39341259	0.620005753	0.473451768	0.106248523	0.151769319	0.99557324	0.496123079	0.162325192	0.255392642	0.185032407	0.722813833	0.267031242	0.374028925	0.203845085	0.021616432	0.600371265	0.084682925	0.621720328	0.203845085	0.021616432	0.600371265	0.084682925	0.621720328
Gen0_Mut0_ID3	none	none	f	0.37281526	0.923111852	0.429889474	0.562529864	0.443330243	0.838759871	0.936036006	0.601165487	0.467176188	0.806510738	0.956487534	0.910815956	0.494453052	0.876390728	0.004983575	0.056353126	0.569257177	0.829494371	0.442904119	0.903491058	0.089691989	0.075707301	0.660156328	0.749584052	0.70558145	0.935862575	0.444838189	0.573501983	0.22784035	0.565291354	0.287130393	0.351154149	0.182346425	0.632622012	0.889521992	0.580948295	0.434117549	0.163573583	0.914615786	0.784864205	0.382698269	0.589681627	0.703415708	0.595632471	0.061834889	0.597570571	0.589681627	0.703415708	0.595632471	0.061834889	0.597570571
Gen0_Mut0_ID4	none	none	m	0.606357829	0.798940076	0.741930956	0.317968409	0.196299555	0.057815373	0.170343821	0.79278789	0.931132823	0.645857631	0.061444362	0.973474668	0.664549811	0.547122443	0.631730106	0.800110694	0.227228511	0.363147528	0.047923414	0.403513794	0.435597578	0.755466601	0.485256826	0.895877581	0.592840537	0.802835189	0.298776324	0.41415892	0.228614224	0.956142292	0.821609856	0.848169532	0.799597531	0.109151291	0.71497544	0.136371281	0.067589182	0.061558041	0.681913532	0.5899076	0.257012108	0.687927414	0.724275759	0.057721377	0.790659732	0.471681617	0.687927414	0.724275759	0.057721377	0.790659732	0.471681617
Gen0_Mut0_ID5	none	none	f	0.727359657	0.18222161	0.404930549	0.646447165	0.079885407	0.310983415	0.398141607	0.285945717	0.143922076	0.225269749	0.75044962	0.687109167	0.900462475	0.302744175	0.115563383	0.806266716	0.242107851	0.483668987	0.706886733	0.009329503	0.372753888	0.353057625	0.213454643	0.319759537	0.092095895	0.398424713	0.782273096	0.604500274	0.483604158	0.923087532	0.401231753	0.092810042	0.643121643	0.244221904	0.302425337	0.982299941	0.130420685	0.193785517	0.371244522	0.674228433	0.272721208	0.54308262	0.159765324	0.459017767	0.331269209	0.938665831	0.54308262	0.159765324	0.459017767	0.331269209	0.938665831
Gen0_Mut0_ID6	none	none	m	0.594520638	0.235658005	0.924041339	0.359663841	0.506178578	0.778812644	0.474048113	0.523216901	0.075583914	0.272517301	0.156626199	0.516937679	0.354950845	0.22695972	0.780789486	0.880742388	0.125967554	0.284830802	0.557766691	0.884900584	0.257048878	0.729686061	0.50734962	0.313826769	0.390790849	0.759792729	0.340656955	0.208716924	0.32487957	0.678806011	0.564993902	0.831408612	0.624711463	0.604596137	0.30598311	0.755742146	0.993625439	0.894732513	0.513620415	0.06596463	0.792662695	0.687988733	0.707323614	0.002229648	0.582719668	0.099038531	0.687988733	0.707323614	0.002229648	0.582719668	0.099038531
Gen0_Mut0_ID7	none	none	f	0.566320458	0.242084382	0.793135229	0.16685697	0.748242941	0.36665464	0.367931619	0.06080875	0.238054248	0.043519049	0.614680419	0.472186085	0.769625896	0.843378145	0.918581856	0.324816208	0.921241398	0.627308904	0.773498561	0.178176481	0.121927427	0.866210175	0.180249419	0.726648172	0.689819674	0.70417079	0.937717288	0.456122856	0.927329251	0.149067799	0.320764178	0.892641377	0.222637682	0.739421899	0.305813921	0.244394309	0.252498937	0.655675212	0.847755155	0.979615259	0.0727399	0.941635407	0.534457642	0.157176783	0.575552691	0.301929059	0.941635407	0.534457642	0.157176783	0.575552691	0.301929059
Gen0_Mut0_ID8	none	none	m	0.964140334	0.056022461	0.217781319	0.55899044	0.499028013	0.875623733	0.514287487	0.106995182	0.274286996	0.787441196	0.973138157	0.824514625	0.093513329	0.847546572	0.178285174	0.878311792	0.082514579	0.19565434	0.943086758	0.41491694	0.847621889	0.147857427	0.929586623	0.273461993	0.601193483	0.979359848	0.90231727	0.03006196	0.63358548	0.919187744	0.986940274	0.644077344	0.092491932	0.607235858	0.931292766	0.185192783	0.416597035	0.217132018	0.756152595	0.168812044	0.920698934	0.185599098	0.565170586	0.547208582	0.552567177	0.942235167	0.185599098	0.565170586	0.547208582	0.552567177	0.942235167
Gen0_Mut0_ID9	none	none	f	0.422869276	0.520355982	0.25747101	0.672294601	0.720988783	0.108128166	0.304791813	0.997655482	0.795822191	0.758850061	0.673307361	0.535579705	0.784671702	0.491543024	0.568677922	0.693769417	0.787581676	0.551834841	0.273692639	0.158325468	0.3896889	0.587886318	0.89108451	0.292277879	0.828749344	0.636711545	0.972005332	0.911549458	0.094328791	0.788484367	0.910757803	0.156996034	0.682879016	0.002278064	0.685065998	0.262057026	0.214063218	0.238218684	0.788957614	0.472103187	0.302930967	0.798306603	0.905232676	0.456764848	0.995161666	0.183530704	0.798306603	0.905232676	0.456764848	0.995161666	0.183530704
