ID	Parent1	Parent2	Sex	ptn_all_swt	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_dim_cvr	ptn_cov_sig	ptn_cov_rad	ptn_cov_xcp	ptn_cov_ycp	ptn_edg_blr	ptn_edg_spc	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	ptn_ajd_xsc	ptn_ajd_ysc	ptn_ajd_enl	ptn_ajd_ang	col_mac_swt	col_mac_lmv	col_mac_rgv	col_mac_byv	col_bot_swt	col_bot_lmv	col_bot_rgv	col_bot_byv	col_top_swt	col_top_lmv	col_top_rgv	col_top_byv	col_grd_sig	col_grd_hgt	eem_all_swt	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	spk_one_swt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_swt	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp
Gen0_Mut0_ID0	-	-	-	0.76	0.12	0.44	0.12	0.76	0.84	0.6	0.36	0.96	0.4	0.48	0.88	0.8	0.72	0.08	0.16	0.4	0.32	0.24	0.52	0.08	0.84	0.88	0.52	0.32	0.24	0.12	0.48	0.8	0.4	0.36	0.72	0.8	0.32	0.36	0.72	0.36	0.48	0.04	0.12	0.96	0.12	0.48	0.88	0.36	0.2	0.6	0.6	0.24	0.24	0.72
Gen0_Mut0_ID1	-	-	-	0.24	0.4	0.12	0.08	0.72	0.16	0.48	0.28	0.48	0.16	0.96	0.48	0.72	0.56	0.12	0.2	0.48	0.8	0.04	0.44	0.44	0.16	0.6	0.24	0.8	0.32	0.32	0.36	0.96	0.28	0.16	0.64	0.96	0.2	0.76	0.6	0.88	0.08	0.52	0.2	0.68	0.56	0.76	0.68	0.32	0.76	0.16	0.44	0.16	0.68	0.52
Gen0_Mut0_ID2	-	-	-	0.88	0.2	0.24	0.64	0.56	0.04	0.56	0.2	0.32	0.08	0.76	0.28	0.16	0.68	0.96	0.44	0.04	0.64	0.56	0.76	0.2	0.56	0.4	0.44	0.56	0.16	0.72	0.88	0.52	0.92	0.96	0.16	0.48	0.6	0.32	0.8	0.8	0.92	0.16	0.32	0.32	0.68	0.24	0.76	0.72	0.12	0.24	0.12	0.6	0.08	0.12
Gen0_Mut0_ID3	-	-	-	0.64	0.52	0.64	0.88	0.36	0.48	0.96	0.92	0.2	0.36	0.72	0.68	0.32	0.2	0.52	0.92	0.52	0.12	0.48	0.28	0.52	0.12	0.08	0.92	0.52	0.08	0.76	0.32	0.24	0.12	0.48	0.04	0.36	0.4	0.52	0.08	0.28	0.72	0.08	0.56	0.24	0.8	0.68	0.72	0.4	0.64	0.48	0.64	0.84	0.92	0.88
Gen0_Mut0_ID4	-	-	-	0.56	0.08	0.76	0.84	0.48	0.36	0.64	0.08	0.64	0.2	0.84	0.72	0.64	0.32	0.44	0.6	0.6	0.84	0.52	0.2	0.76	0.6	0.96	0.16	0.4	0.52	0.2	0.08	0.88	0.84	0.68	0.84	0.08	0.04	0.12	0.32	0.52	0.88	0.28	0.76	0.44	0.88	0.4	0.6	0.88	0.96	0.72	0.68	0.64	0.72	0.56
Gen0_Mut0_ID5	-	-	-	0.2	0.8	0.88	0.16	0.4	0.24	0.36	0.96	0.6	0.92	0.68	0.12	0.36	0.6	0.84	0.4	0.12	0.6	0.92	0.48	0.32	0.52	0.76	0.12	0.68	0.92	0.08	0.4	0.2	0.6	0.4	0.92	0.04	0.52	0.84	0.12	0.32	0.76	0.92	0.92	0.52	0.32	0.36	0.48	0.68	0.68	0.76	0.16	0.36	0.88	0.92
Gen0_Mut0_ID6	-	-	-	0.52	0.16	0.72	0.52	0.12	0.96	0.16	0.52	0.08	0.04	0.04	0.6	0.56	0.88	0.36	0.56	0.96	0.44	0.76	0.64	0.72	0.8	0.64	0.28	0.88	0.48	0.24	0.76	0.92	0.8	0.6	0.52	0.52	0.24	0.2	0.88	0.2	0.68	0.44	0.84	0.72	0.4	0.32	0.28	0.04	0.88	0.52	0.88	0.08	0.84	0.96
Gen0_Mut0_ID7	-	-	-	0.08	0.28	0.84	0.92	0.84	0.32	0.72	0.48	0.76	0.28	0.4	0.32	0.48	0.52	0.16	0.52	0.32	0.04	0.12	0.36	0.8	0.48	0.68	0.64	0.28	0.56	0.64	0.12	0.32	0.16	0.56	0.56	0.4	0.28	0.28	0.56	0.84	0.2	0.24	0.16	0.6	0.64	0.52	0.08	0.52	0.04	0.08	0.84	0.56	0.56	0.28
Gen0_Mut0_ID8	-	-	-	0.12	0.84	0.04	0.68	0.68	0.4	0.12	0.84	0.16	0.88	0.24	0.4	0.44	0.4	0.32	0.28	0.68	0.4	0.08	0.56	0.24	0.04	0.2	0.2	0.96	0.8	0.56	0.28	0.68	0.52	0.24	0.76	0.88	0.36	0.88	0.64	0.44	0.16	0.96	0.72	0.16	0.16	0.92	0.36	0.48	0.44	0.36	0.08	0.8	0.04	0.24
Gen0_Mut0_ID9	-	-	-	0.16	0.24	0.16	0.6	0.04	0.92	0.28	0.44	0.12	0.72	0.44	0.24	0.88	0.04	0.92	0.48	0.08	0.76	0.68	0.84	0.92	0.96	0.8	0.04	0.48	0.44	0.92	0.64	0.36	0.96	0.52	0.28	0.84	0.92	0.64	0.92	0.08	0.24	0.64	0.68	0.92	0.28	0.12	0.4	0.28	0.52	0.88	0.52	0.04	0.6	0.44
Gen0_Mut0_ID10	-	-	-	0.68	0.32	0.8	0.32	0.6	0.52	0.24	0.32	0.88	0.8	0.8	0.04	0.28	0.12	0.88	0.24	0.64	0.08	0.28	0.08	0.84	0.88	0.36	0.48	0.12	0.68	0.36	0.84	0.12	0.48	0.76	0.12	0.92	0.88	0.08	0.52	0.56	0.12	0.68	0.4	0.08	0.24	0.84	0.2	0.44	0.48	0.84	0.56	0.32	0.36	0.36
Gen0_Mut0_ID11	-	-	-	0.92	0.76	0.6	0.2	0.16	0.64	0.04	0.56	0.24	0.84	0.6	0.64	0.12	0.36	0.8	0.36	0.88	0.48	0.6	0.72	0.48	0.2	0.52	0.72	0.6	0.2	0.8	0.72	0.76	0.08	0.28	0.6	0.56	0.68	0.16	0.84	0.76	0.28	0.88	0.04	0.88	0.92	0.16	0.52	0.6	0.92	0.92	0.8	0.92	0.76	0.6
Gen0_Mut0_ID12	-	-	-	0.84	0.44	0.2	0.04	0.88	0.68	0.44	0.12	0.92	0.44	0.52	0.84	0.68	0.44	0.68	0.64	0.24	0.72	0.44	0.32	0.12	0.72	0.56	0.36	0.36	0.12	0.6	0.52	0.08	0.68	0.8	0.32	0.16	0.56	0.04	0.04	0.12	0.56	0.8	0.52	0.04	0.08	0.28	0.44	0.64	0.8	0.56	0.96	0.52	0.16	0.76
Gen0_Mut0_ID13	-	-	-	0.32	0.88	0.92	0.36	0.2	0.6	0.08	0.64	0.4	0.68	0.36	0.52	0.4	0.48	0.56	0.32	0.36	0.36	0.16	0.16	0.96	0.36	0.72	0.76	0.44	0.28	0.52	0.44	0.84	0.36	0.88	0.44	0.76	0.12	0.44	0.76	0.64	0.52	0.48	0.48	0.36	0.52	0.96	0.16	0.92	0.28	0.96	0.36	0.76	0.64	0.8
Gen0_Mut0_ID14	-	-	-	0.48	0.68	0.48	0.96	0.08	0.8	0.2	0.88	0.68	0.52	0.28	0.44	0.52	0.92	0.04	0.04	0.72	0.88	0.2	0.6	0.68	0.32	0.24	0.84	0.92	0.96	0.28	0.56	0.72	0.2	0.64	0.4	0.24	0.16	0.8	0.36	0.16	0.64	0.72	0.88	0.8	0.2	0.64	0.92	0.76	0.56	0.4	0.4	0.44	0.12	0.4
